Street,Neighborhood,City,Size,Bedrooms,Bathrooms,Vacancies,Advertisement_Value,Square_Meter_Value,just_street,street,zip_code,latitude,longitude,Point,setor_censo
"Avenida Itacira, 255 ",Planalto Paulista,São Paulo,1000,4,8,6,7000000.0,7162.688383812413,avenida itacira,avenida itacira,11443160.0,-23.975993,-46.2013172,POINT (-46.2013172 -23.975993),
"Rua Aurelia Perez Alvarez, 42 ",Jardim dos Estados,São Paulo,496,4,4,4,3700000.0,5708.74365860937,rua aurelia perez alvarez,rua aurelia perez alvarez,4642020.0,-23.6409612,-46.6883114,POINT (-46.6883114 -23.6409612),355030871000023.0
Rua Alba Valdez,Jardim Reimberg,São Paulo,125,4,3,2,380000.0,6961.299081035923,rua alba valdez,rua alba valdez,4845200.0,-23.75299,-46.6958895,POINT (-46.6958895 -23.75299),355030830000050.0
,Jardim Morumbi,São Paulo,310,3,2,4,685000.0,4385.002777263469,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
"Rua Tobias Barreto, 195 ",Mooca,São Paulo,100,3,2,2,540000.0,11126.342329903666,rua tobias barreto,rua tobias barreto,13474663.0,-22.6989009,-47.2944609,POINT (-47.2944609 -22.6989009),
Rua Graham Bell,Santo Amaro,São Paulo,440,4,4,6,1980000.0,1726.6187050359713,rua graham bell,rua graham bell,4737030.0,-23.5937964,-46.7600773,POINT (-46.7600773 -23.5937964),355030865000169.0
"Rua Francisco Paulo, 31 ",Cidade Mãe do Céu,São Paulo,145,4,4,2,850000.0,3600.0,rua francisco paulo,rua francisco paulo,3306050.0,-23.5222541,-46.5164525,POINT (-46.5164525 -23.5222541),355030859000013.0
"Rua Guilherme Valente, 150 ",Jardim Vergueiro,São Paulo,150,2,2,2,450000.0,5675.144790812141,rua guilherme valente,rua guilherme valente,5818280.0,-23.6647336,-46.7339399,POINT (-46.7339399 -23.6647336),355030846000047.0
"Rua Sagrada Família, 8 ",Jardim Benfica,São Paulo,48,2,1,1,199900.0,6087.700534759359,rua sagrada família,rua sagrada família,8140520.0,-23.5875122,-46.6115287,POINT (-46.6115287 -23.5875122),355030834000022.0
Rua Tapaji,Vila Alpina,São Paulo,114,3,3,2,585000.0,7101.869158878505,rua tapaji,rua tapaji,3207050.0,-23.6004694,-46.5615172,POINT (-46.5615172 -23.6004694),355030893000075.0
"Rua Vigário João Álvares, 66 ",Vila Monumento,São Paulo,261,4,4,3,700000.0,5052.631578947368,rua vigário joão álvares,rua vigário joão álvares,1551040.0,-23.5757239,-46.6119322,POINT (-46.6119322 -23.5757239),355030834000071.0
,Jardim Luzitânia,São Paulo,436,4,3,3,15000.0,4741.190289741582,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
"Rua Tuim, 449 ",Vila Uberabinha,São Paulo,193,3,3,2,2500000.0,9440.086112530103,rua tuim,rua tuim,13903401.0,-22.7092778,-46.7724671,POINT (-46.7724671 -22.7092778),
"Rua Antônio Pereira Mendes, 98 ",Jardim Prudência,São Paulo,251,3,5,4,1700000.0,4457.652303120357,rua antônio pereira mendes,rua antônio pereira mendes,4648235.0,-23.654041,-46.6761882,POINT (-46.6761882 -23.654041),355030822000233.0
"Rua João Antunes Carvalho, 75 ",Lauzane Paulista,São Paulo,300,4,5,4,1150000.0,4021.978021978022,rua joão antunes carvalho,rua joão antunes carvalho,2435100.0,-23.481381,-46.6421852,POINT (-46.6421852 -23.481381),355030851000041.0
